,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
1,Quentin Grimes,Mavericks,points,9.5,-110,over,0.8906006303572609,3.501187835228399,0.5238095238095238,1,0.05017587487961571,0.014418330346955693,Quentin Grimes_points_over
12,Trey Murphy III,Pelicans,points,14.5,-115,over,0.757359562650262,2.0796654769481018,0.5348837209302326,1,0.05017587487961571,0.014418330346955693,Trey Murphy III_points_over
34,Klay Thompson,Mavericks,rebounds,2.5,100,over,0.6405735336749161,1.405735336749161,0.5,1,0.05017587487961571,0.014418330346955693,Klay Thompson_rebounds_over
39,Dejounte Murray,Pelicans,rebounds,6.5,-155,under,0.6223605983423859,0.11941782507446419,0.607843137254902,1,0.05017587487961571,0.014418330346955693,Dejounte Murray_rebounds_under
41,Gradey Dick,Raptors,rebounds,2.5,-145,over,0.6200962589216268,0.23874425640684716,0.5918367346938775,1,0.05017587487961571,0.014418330346955693,Gradey Dick_rebounds_over
61,Klay Thompson,Mavericks,points,11.5,-115,under,0.5554054830831634,0.19183386360348376,0.5348837209302326,1,0.05017587487961571,0.014418330346955693,Klay Thompson_points_under
66,Jalen Williams,Thunder,assists,4.5,-115,over,0.541788131772205,0.06454123178365512,0.5348837209302326,1,0.05017587487961571,0.014418330346955693,Jalen Williams_assists_over
3,Davion Mitchell,Raptors,points,7.5,-130,under,0.8449215899645284,2.4743063727631354,0.5652173913043479,2,0.07039705081960573,0.01597915335070554,Davion Mitchell_points_under
10,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.7768698398515702,1.0423209766233237,0.6428571428571428,2,0.07039705081960573,0.01597915335070554,Daniel Gafford_assists_over
14,RJ Barrett,Raptors,points,22.5,-125,over,0.7358488706030892,1.622639835427803,0.5555555555555556,2,0.07039705081960573,0.01597915335070554,RJ Barrett_points_over
28,Brandon Ingram,Pelicans,fg3m,1.5,-140,over,0.6691458157147478,0.7355355632692675,0.5833333333333333,2,0.07039705081960573,0.01597915335070554,Brandon Ingram_fg3m_over
38,Bilal Coulibaly,Wizards,rebounds,4.5,-115,over,0.6266892287178578,0.8581819206234536,0.5348837209302326,2,0.07039705081960573,0.01597915335070554,Bilal Coulibaly_rebounds_over
42,Alexandre Sarr,Wizards,points,10.5,-120,over,0.6094891593900151,0.5869839610751393,0.5454545454545454,2,0.07039705081960573,0.01597915335070554,Alexandre Sarr_points_over
55,Brandon Ingram,Pelicans,assists,5.5,115,over,0.5702459197218775,1.1301436370101836,0.46511627906976744,2,0.07039705081960573,0.01597915335070554,Brandon Ingram_assists_over
12,Trey Murphy III,Pelicans,points,14.5,-115,over,0.757359562650262,2.0796654769481018,0.5348837209302326,3,0.03472927480905504,0.008768722729398302,Trey Murphy III_points_over
21,Michael Porter Jr.,Nuggets,fg3m,2.5,105,under,0.6766764161830634,1.9359332658763992,0.48780487804878053,3,0.03472927480905504,0.008768722729398302,Michael Porter Jr._fg3m_under
34,Klay Thompson,Mavericks,rebounds,2.5,100,over,0.6405735336749161,1.405735336749161,0.5,3,0.03472927480905504,0.008768722729398302,Klay Thompson_rebounds_over
35,Isaiah Hartenstein,Thunder,assists,3.5,-145,over,0.640552227211231,0.41156191954315813,0.5918367346938775,3,0.03472927480905504,0.008768722729398302,Isaiah Hartenstein_assists_over
58,Carlton Carrington,Wizards,rebounds,3.5,120,under,0.5583570552828954,1.1419276081118497,0.45454545454545453,3,0.03472927480905504,0.008768722729398302,Carlton Carrington_rebounds_under
59,CJ McCollum,Pelicans,assists,3.5,105,under,0.5583570552828954,0.7231598166496771,0.48780487804878053,3,0.03472927480905504,0.008768722729398302,CJ McCollum_assists_under
69,Michael Porter Jr.,Nuggets,points,19.5,-105,over,0.5297427331607596,0.17129810942646229,0.5121951219512195,3,0.03472927480905504,0.008768722729398302,Michael Porter Jr._points_over
1,Quentin Grimes,Mavericks,points,9.5,-110,over,0.8906006303572609,3.501187835228399,0.5238095238095238,4,0.08891444826438785,0.017259448166232302,Quentin Grimes_points_over
