,PROP_TAG,THRESH,0,6,7,9,10,11,13,14,16,17,18,19,20,21,24,25,26,27,30,9078,9848,10094,10108,10549,10583,10723,10783,10791,11062,11271,12850,13109
0,Al Horford_blocks_under,1.5,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0
1,Al Horford_rebounds_under,7.5,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
2,Andrew Nembhard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
3,Ben Sheppard_assists_over,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,
4,Ben Sheppard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
5,Ben Sheppard_points_over,3.5,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
6,Jayson Tatum_fgm_under,10.5,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Jayson Tatum_points_under,30.5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
8,Jayson Tatum_rebounds_under,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
9,Jayson Tatum_steals_under,1.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
10,Jrue Holiday_fgm_under,5.5,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Jrue Holiday_points_under,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12,Luke Kornet_points_over,3.5,,,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,
13,Obi Toppin_fg3m_over,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0
14,Obi Toppin_points_over,8.5,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
15,T.J. McConnell_points_over,9.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
