,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_fg3m_under,0.5,,,,,,,,,,1.0,,,,
1,Brandin Podziemski_fg3m_under,1.5,1.0,,,1.0,,,,,,,,,,
2,Brandon Clarke_points_under,10.5,,,,,,1.0,,,,1.0,,,,
3,CJ McCollum_fg3m_under,3.5,,,,,,,,,,,,,,1.0
4,Carlton Carrington_points_under,13.5,,,1.0,,,,,,,,,,,
5,Chris Paul_points_over,8.5,,,,,1.0,,,,,,,,,
6,De'Aaron Fox_fg3m_under,2.5,,1.0,,,,,,,,1.0,,,,1.0
7,Derrick Jones Jr._points_over,8.5,,,,,1.0,,,,,,,,1.0,
8,Devin Vassell_assists_over,2.5,,,,,,,,1.0,,,,,,
9,Devin Vassell_points_over,14.5,,,,,,1.0,,,,,,,,
10,Domantas Sabonis_points_over,19.5,,,,,,,,,,,,,1.0,
11,Donte DiVincenzo_points_under,9.5,,,,,,,,,,,,1.0,1.0,
12,Draymond Green_assists_over,5.5,,,,,,,,,,,,1.0,,
13,Draymond Green_rebounds_over,5.5,,,,,1.0,,,,,1.0,,,,
14,Fred VanVleet_points_over,16.5,,1.0,,,,,,,1.0,,,,,
15,Harrison Barnes_points_over,9.5,,,,,,,,,1.0,,,,,
16,Jabari Smith Jr._assists_under,1.5,,1.0,,,,1.0,1.0,,,,,,,
17,Jabari Smith Jr._rebounds_under,7.5,,,,,,,,,,,,1.0,,
18,Jake LaRavia_fg3m_under,1.5,,,,,,,,,,,,,1.0,
19,Jalen Green_rebounds_under,5.5,,,,,,,1.0,,,,1.0,,,1.0
20,Jaren Jackson Jr._points_under,24.5,,,1.0,,,,,1.0,,,,,,
21,Jaren Jackson Jr._rebounds_under,7.5,1.0,,,,,,,,1.0,,,,,
22,Jaylen Wells_rebounds_under,4.5,,,,,1.0,,,,,,,,,
23,Jonathan Kuminga_points_under,17.5,,,,1.0,,,,,,,,,,
24,Jordan Poole_points_under,26.5,,,,,,,,,,,1.0,,,
25,Jordan Poole_rebounds_under,3.5,1.0,,,,,,,,,,,,,
26,Julius Randle_points_over,18.5,1.0,,,,,,,,,,,,,
27,Keegan Murray_fg3m_under,2.5,,,,,,,,1.0,,,,,,
28,Keegan Murray_points_under,13.5,,,,,,,,,,,,1.0,,
29,Marcus Smart_rebounds_under,3.5,,1.0,,,,,,,,,,,,
30,Mike Conley_fg3m_under,2.5,,,,1.0,,,,,,,,,,1.0
31,Mike Conley_points_under,10.5,,,,,,,,1.0,,,,,,
32,Naz Reid_fg3m_under,1.5,,,,,,,,,1.0,,,,,
33,Nickeil Alexander-Walker_points_over,7.5,,,,1.0,,,,,,,,,,
34,Norman Powell_assists_over,1.5,,,1.0,,,,,,,,,,,
35,Santi Aldama_assists_under,3.5,,,,,,,1.0,,,,,,,
36,Santi Aldama_points_over,12.5,,,1.0,,,,,,,,,,,
37,Stephen Curry_assists_over,5.5,,,,,,,,,,,1.0,,,
38,Stephen Curry_rebounds_over,4.5,,,,,,,1.0,,,,,,,
39,Stephon Castle_rebounds_under,3.5,,,,,,1.0,,,,,1.0,,,
