,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_fg3m_under,0.5,,,,,1.0,,,,,,,,,
1,Alperen Sengun_rebounds_under,10.5,1.0,,,,,,,,,,,,,
2,Anthony Edwards_fg3m_over,3.5,,,,,,,,,,,,,,1.0
3,Brandin Podziemski_fg3m_under,1.5,,,,,,,,,,,,1.0,,
4,De'Aaron Fox_points_over,24.5,,,,,,,,1.0,,,,,,
5,DeMar DeRozan_rebounds_over,3.5,,,,,,,,,1.0,,,,,
6,Dillon Brooks_points_under,13.5,,,,,,,,,,1.0,,,,
7,Domantas Sabonis_fg3m_over,0.5,,,,1.0,,,,,,,,,,
8,Domantas Sabonis_points_over,19.5,,,1.0,,,1.0,,,,,,,1.0,
9,Donte DiVincenzo_fg3m_under,2.5,,,,1.0,,,,,,,,,,
10,Donte DiVincenzo_points_under,9.5,,1.0,,,,,,,,1.0,,,,
11,Donte DiVincenzo_rebounds_over,2.5,,,,,,,,,,,,1.0,,
12,Draymond Green_rebounds_over,5.5,,,,,,,1.0,,,,,,,
13,Fred VanVleet_points_over,16.5,,,,,,,,1.0,,,,,,
14,Fred VanVleet_rebounds_over,3.5,,,,,,,1.0,,,,,,,
15,Ivica Zubac_assists_under,2.5,,,,1.0,,,,,,,,,,
16,Jabari Smith Jr._assists_under,1.5,,,1.0,,,,,,,,,,,
17,Jabari Smith Jr._points_under,11.5,,,,,,,,,,,1.0,,,
18,Jonathan Kuminga_points_under,17.5,,1.0,,,,,,,,,,,,
19,Julius Randle_points_over,18.5,,,,,,,,,,,1.0,1.0,,
20,Keegan Murray_fg3m_under,2.5,,,,,,,,,,,,,1.0,
21,Keegan Murray_rebounds_over,6.5,,,1.0,,,,,,,,,,,
22,Kevin Huerter_points_over,7.5,1.0,,,,,,,,,,,,,
23,Lauri Markkanen_points_under,20.5,,,,,,,,,1.0,,,,,
24,Mike Conley_fg3m_under,2.5,,,,,,,,,,,,,,1.0
25,Mike Conley_points_under,10.5,1.0,,,,,,,1.0,,,1.0,,,
26,Nickeil Alexander-Walker_points_over,7.5,,1.0,,,,,,,,,,,1.0,
27,Norman Powell_assists_over,1.5,,,,,,,,,,,,,,1.0
28,Norman Powell_rebounds_under,2.5,,,,,,,1.0,,,,,,,
29,Rudy Gobert_points_over,10.5,,,,,1.0,1.0,,,1.0,,,,,
30,Stephen Curry_assists_over,5.5,,,,,1.0,,,,,,,,,
31,Stephen Curry_fg3m_under,4.5,,,,,,1.0,,,,,,,,
32,Stephen Curry_points_under,24.5,,,,,,,,,,1.0,,,,
