,PROP_TAG,THRESH,1,2,3,4,5
0,Ayo Dosunmu_rebounds_under,3.5,,,,1.0,
1,Bam Adebayo_assists_over,4.5,,,,,1.0
2,Bam Adebayo_fg3m_over,0.5,1.0,,,,
3,Bam Adebayo_points_under,16.5,,,,,1.0
4,Bennedict Mathurin_points_under,18.5,,,,,1.0
5,Bradley Beal_assists_under,3.5,,1.0,,,
6,Bradley Beal_rebounds_over,3.5,,,,,1.0
7,Brandon Miller_assists_under,3.5,1.0,,,,
8,Brandon Miller_fg3m_over,3.5,,,,1.0,
9,Brandon Miller_points_over,25.5,,1.0,,,
10,Brook Lopez_fg3m_over,1.5,,,1.0,,
11,Darius Garland_points_over,18.5,1.0,,,,
12,Donovan Mitchell_rebounds_over,4.5,,1.0,,,
13,Dorian Finney-Smith_fg3m_over,1.5,,,1.0,,
14,Duncan Robinson_points_over,10.5,,,1.0,,
15,Giannis Antetokounmpo_assists_over,5.5,,,,,1.0
16,Giannis Antetokounmpo_points_over,30.5,,,,1.0,
17,Haywood Highsmith_rebounds_under,3.5,,,,1.0,
18,Jaime Jaquez Jr._fg3m_under,0.5,1.0,,,,
19,Jalen Johnson_points_over,18.5,,1.0,,,
20,Jalen Smith_points_over,6.5,,1.0,,,
21,Jalen Suggs_points_under,19.5,1.0,,,,
22,Jalen Wilson_assists_under,1.5,,1.0,,,
23,Josh Giddey_assists_over,5.5,,,1.0,,
24,Josh Giddey_fg3m_under,1.5,1.0,,,,
25,Josh Green_assists_under,2.5,,,,1.0,
26,Josh Green_points_under,9.5,,,,,1.0
27,Kelly Oubre Jr._rebounds_over,4.5,,,1.0,,
28,Kentavious Caldwell-Pope_assists_under,2.5,,,1.0,,
29,Kentavious Caldwell-Pope_fg3m_under,2.5,,,1.0,,
30,Kentavious Caldwell-Pope_points_under,11.5,,,,,1.0
31,Kentavious Caldwell-Pope_rebounds_under,2.5,,,,1.0,
32,Michael Porter Jr._fg3m_under,2.5,1.0,,,,
33,Myles Turner_points_under,14.5,,1.0,,,
34,Royce O'Neale_rebounds_under,6.5,,1.0,,,
35,Taurean Prince_rebounds_under,3.5,,,1.0,,
36,Trae Young_fg3m_under,2.5,,,,,1.0
37,Tyrese Haliburton_rebounds_under,3.5,,,1.0,,
38,Tyrese Maxey_assists_under,5.5,,,,,1.0
39,Tyus Jones_assists_over,5.5,,,,1.0,
40,Tyus Jones_points_over,11.5,,,,1.0,
41,Wendell Carter Jr._points_under,11.5,,,,1.0,
42,Zach LaVine_assists_over,3.5,,1.0,,,
43,Zach LaVine_fg3m_over,2.5,1.0,,,,
44,Zach LaVine_rebounds_under,4.5,1.0,,,,
