,PARLAY_ID,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,TO_WIN,PROP_TAG
0,3,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.64659565,0.281895584,0.017868981,54.9629,Sam Hauser_points_over
1,3,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.64659565,0.281895584,0.017868981,54.9629,Payton Pritchard_points_over
2,3,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.64659565,0.281895584,0.017868981,54.9629,Jrue Holiday_points_under
3,3,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.64659565,0.281895584,0.017868981,54.9629,Payton Pritchard_assists_over
4,3,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,17.64659565,0.281895584,0.017868981,54.9629,Jayson Tatum_points_under
5,3,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.64659565,0.281895584,0.017868981,54.9629,Sam Hauser_fg3m_over
6,5,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.57535574,0.239105772,0.015316269,64.29005,Sam Hauser_points_over
7,5,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.57535574,0.239105772,0.015316269,64.29005,Payton Pritchard_points_over
8,5,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.57535574,0.239105772,0.015316269,64.29005,Jrue Holiday_points_under
9,5,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.57535574,0.239105772,0.015316269,64.29005,Payton Pritchard_assists_over
10,5,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.57535574,0.239105772,0.015316269,64.29005,Sam Hauser_fg3m_over
11,5,Jrue Holiday,Celtics,assists,5.5,110,under,0.644011105,1.762116603,0.476190476,17.57535574,0.239105772,0.015316269,64.29005,Jrue Holiday_assists_under
12,8,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.47958062,0.24146845,0.015689837,62.735525,Sam Hauser_points_over
13,8,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.47958062,0.24146845,0.015689837,62.735525,Payton Pritchard_points_over
14,8,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.47958062,0.24146845,0.015689837,62.735525,Jrue Holiday_points_under
15,8,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.47958062,0.24146845,0.015689837,62.735525,Payton Pritchard_assists_over
16,8,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.47958062,0.24146845,0.015689837,62.735525,Sam Hauser_fg3m_over
17,8,Jayson Tatum,Celtics,fgm,9.5,105,under,0.650374779,1.666341484,0.487804878,17.47958062,0.24146845,0.015689837,62.735525,Jayson Tatum_fgm_under
18,9,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.47704445,0.253445414,0.016474329,59.7005,Sam Hauser_points_over
19,9,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.47704445,0.253445414,0.016474329,59.7005,Payton Pritchard_points_over
20,9,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.47704445,0.253445414,0.016474329,59.7005,Jrue Holiday_points_under
21,9,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.47704445,0.253445414,0.016474329,59.7005,Payton Pritchard_assists_over
22,9,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,17.47704445,0.253445414,0.016474329,59.7005,Tyrese Haliburton_points_over
23,9,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.47704445,0.253445414,0.016474329,59.7005,Sam Hauser_fg3m_over
24,10,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.44907087,0.234640388,0.015316269,64.29005,Sam Hauser_points_over
25,10,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.44907087,0.234640388,0.015316269,64.29005,Payton Pritchard_points_over
26,10,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.44907087,0.234640388,0.015316269,64.29005,Jrue Holiday_points_under
27,10,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.44907087,0.234640388,0.015316269,64.29005,Payton Pritchard_assists_over
28,10,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.44907087,0.234640388,0.015316269,64.29005,Sam Hauser_fg3m_over
29,10,Jaylen Brown,Celtics,rebounds,6.5,110,under,0.631983974,1.635831727,0.476190476,17.44907087,0.234640388,0.015316269,64.29005,Jaylen Brown_rebounds_under
30,12,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,17.41280877,0.285863764,0.01876243,52.298,Sam Hauser_points_over
31,12,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,17.41280877,0.285863764,0.01876243,52.298,Payton Pritchard_points_over
32,12,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,17.41280877,0.285863764,0.01876243,52.298,Jrue Holiday_points_under
33,12,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,17.41280877,0.285863764,0.01876243,52.298,Payton Pritchard_assists_over
34,12,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,17.41280877,0.285863764,0.01876243,52.298,Jayson Tatum_rebounds_under
35,12,Sam Hauser,Celtics,fg3m,1.5,135,over,0.655074446,2.697124738,0.425531915,17.41280877,0.285863764,0.01876243,52.298,Sam Hauser_fg3m_over
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
42,371688,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,9.01925993,0.108775505,0.022583559,43.28,Jayson Tatum_rebounds_under
43,371688,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,9.01925993,0.108775505,0.022583559,43.28,Jayson Tatum_points_under
44,371688,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,9.01925993,0.108775505,0.022583559,43.28,Tyrese Haliburton_points_over
45,371688,Jaylen Brown,Celtics,points,26.5,-120,under,0.674604676,1.183876198,0.545454545,9.01925993,0.108775505,0.022583559,43.28,Jaylen Brown_points_under
46,371688,Derrick White,Celtics,points,15.5,-110,over,0.639343106,1.102820561,0.523809524,9.01925993,0.108775505,0.022583559,43.28,Derrick White_points_over
47,371688,Jaylen Brown,Celtics,rebounds,6.5,110,under,0.631983974,1.635831727,0.476190476,9.01925993,0.108775505,0.022583559,43.28,Jaylen Brown_rebounds_under
48,398905,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,8.852244907,0.093175821,0.019829467,49.43,Jayson Tatum_rebounds_under
49,398905,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,8.852244907,0.093175821,0.019829467,49.43,Tyrese Haliburton_points_over
50,398905,Jaylen Brown,Celtics,points,26.5,-120,under,0.674604676,1.183876198,0.545454545,8.852244907,0.093175821,0.019829467,49.43,Jaylen Brown_points_under
51,398905,Jayson Tatum,Celtics,fgm,9.5,105,under,0.650374779,1.666341484,0.487804878,8.852244907,0.093175821,0.019829467,49.43,Jayson Tatum_fgm_under
52,398905,Derrick White,Celtics,points,15.5,-110,over,0.639343106,1.102820561,0.523809524,8.852244907,0.093175821,0.019829467,49.43,Derrick White_points_over
