,parlay_tag,props,COMBINED_PROB,COMBINED_EV
19,2024-05-19_19_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_assists_4.5_105_over_P0.531_EV0.443_HOUSE_PROV0.488,0.2979056722381387,5.929709891578218
20,2024-05-19_20_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_steals_0.5_160_under_P0.527_EV1.855_HOUSE_PROV0.385,0.2958268179260823,8.765338361116036
21,2024-05-19_21_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_assists_8.5_-105_under_P0.515_EV0.026_HOUSE_PROV0.512,0.2888572734076674,5.093083602761107
22,2024-05-19_22_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_assists_5.5_120_over_P0.495_EV0.444_HOUSE_PROV0.455,0.27766081655605784,5.9323437375762165
23,2024-05-19_23_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_rebounds_4.5_105_over_P0.494_EV0.066_HOUSE_PROV0.488,0.27728745838030394,5.1732587160916665
24,2024-05-19_24_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Karl-Anthony Towns_blocks_0.5_160_over_P0.493_EV1.414_HOUSE_PROV0.385,0.2768026213010252,7.88010927530088
25,2024-05-19_25_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_steals_1.5_115_under_P0.487_EV0.236_HOUSE_PROV0.465,0.2732551813550592,5.51436057940211
26,2024-05-19_26_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Kentavious Caldwell-Pope_blocks_0.5_115_over_P0.473_EV0.082_HOUSE_PROV0.465,0.26520308585635993,5.204530642881721
27,2024-05-19_27_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_fg3m_0.5_145_under_P0.468_EV0.729_HOUSE_PROV0.408,0.262374850547648,6.504408377485067
28,2024-05-19_28_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_blocks_0.5_160_over_P0.451_EV0.865_HOUSE_PROV0.385,0.25313016438992586,6.778588522366155
29,2024-05-19_29_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565,0.3805499800574863,6.109132110139697
30,2024-05-19_30_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_points_30.5_-125_under_P0.682_EV1.140_HOUSE_PROV0.556,0.3723289594204493,6.058170094787345
31,2024-05-19_31_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Kentavious Caldwell-Pope_steals_1.5_-200_under_P0.677_EV0.078_HOUSE_PROV0.667,0.36956955319217466,4.146846441506323
32,2024-05-19_32_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_fg3m_1.5_-185_under_P0.677_EV0.216_HOUSE_PROV0.649,0.36956955319217466,4.39405850749298
33,2024-05-19_33_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Karl-Anthony Towns_assists_3.5_-180_under_P0.674_EV0.243_HOUSE_PROV0.643,0.3679129894921434,4.443100063631681
34,2024-05-19_34_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_steals_1.5_-150_under_P0.663_EV0.522_HOUSE_PROV0.600,0.3616540519566784,4.945486428808655
35,2024-05-19_35_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_points_19.5_-120_over_P0.648_EV0.941_HOUSE_PROV0.545,0.3537320274461989,5.700393830247519
36,2024-05-19_36_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_blocks_0.5_-125_under_P0.644_EV0.796_HOUSE_PROV0.556,0.3515073906114938,5.439769501161367
37,2024-05-19_37_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jaden McDaniels_fgm_3.5_-130_over_P0.641_EV0.666_HOUSE_PROV0.565,0.34960575918785464,5.205798893214681
38,2024-05-19_38_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_points_27.5_-105_under_P0.615_EV1.003_HOUSE_PROV0.512,0.33563404430819405,5.812210998785394
39,2024-05-19_39_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_assists_5.5_-135_over_P0.610_EV0.312_HOUSE_PROV0.574,0.3330854462589467,4.566954206437524
40,2024-05-19_40_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_fgm_7.5_-120_over_P0.596_EV0.464_HOUSE_PROV0.545,0.3253248447358493,4.841076553259441
41,2024-05-19_41_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_steals_1.5_-125_under_P0.592_EV0.326_HOUSE_PROV0.556,0.3230152301587581,4.593552335715117
42,2024-05-19_42_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_fgm_11.5_-135_under_P0.574_EV0.000_HOUSE_PROV0.574,0.3135507426133721,4.005874107284077
43,2024-05-19_43_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_blocks_0.5_130_under_P0.571_EV1.569_HOUSE_PROV0.435,0.3117590883904546,6.831257404417752
44,2024-05-19_44_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_fg3m_2.5_100_under_P0.570_EV0.697_HOUSE_PROV0.500,0.3109402331770832,5.2610276948437456
45,2024-05-19_45_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jaden McDaniels_rebounds_3.5_115_over_P0.567_EV1.090_HOUSE_PROV0.465,0.30920524550215467,5.969056084188937
46,2024-05-19_46_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_fgm_9.5_-110_under_P0.561_EV0.356_HOUSE_PROV0.524,0.30622880630832416,4.646207398712212
47,2024-05-19_47_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Karl-Anthony Towns_steals_0.5_-110_under_P0.549_EV0.239_HOUSE_PROV0.524,0.2995348396853044,4.4353474500870895
48,2024-05-19_48_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Aaron Gordon_assists_4.5_105_over_P0.531_EV0.443_HOUSE_PROV0.488,0.2898122874389239,4.8029006226216
49,2024-05-19_49_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Aaron Gordon_steals_0.5_160_under_P0.527_EV1.855_HOUSE_PROV0.385,0.28778991062782466,7.34618716593368
