,parlay_tag,props,COMBINED_PROB,COMBINED_EV,HETERO
0,2024-05-18_0_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Luguentz Dort_blocks_0.5_-275_under_P0.756_EV0.153_HOUSE_PROV0.733,0.4690500861226424,2.0814379885398946,8
1,2024-05-18_1_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Luguentz Dort_steals_1.5_-160_under_P0.750_EV1.098_HOUSE_PROV0.615,0.4657523380445367,3.379383581783406,8
2,2024-05-18_2_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Dereck Lively II_blocks_1.5_-200_under_P0.721_EV0.408_HOUSE_PROV0.667,0.4474923148459593,2.431568800120396,8
3,2024-05-18_3_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Luguentz Dort_rebounds_4.5_-125_under_P0.683_EV1.150_HOUSE_PROV0.556,0.42409977516749237,3.451702662266456,8
4,2024-05-18_4_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Jaden Hardy_points_3.5_-110_over_P0.674_EV1.436_HOUSE_PROV0.524,0.4184762236503796,3.8450656362466606,8
5,2024-05-18_5_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Dereck Lively II_rebounds_6.5_-105_under_P0.664_EV1.481_HOUSE_PROV0.512,0.4120339195258377,3.906379450975166,8
6,2024-05-18_6_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Jalen Williams_rebounds_5.5_-115_under_P0.658_EV1.151_HOUSE_PROV0.535,0.40835797892549547,3.4525028867653003,8
7,2024-05-18_7_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Chet Holmgren_blocks_2.5_-110_under_P0.644_EV1.150_HOUSE_PROV0.524,0.39982058678493076,3.4507533115905815,8
8,2024-05-18_8_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Luka Doncic_blocks_0.5_-135_under_P0.644_EV0.606_HOUSE_PROV0.574,0.39969811760347623,2.703176684500858,8
9,2024-05-18_9_,Derrick Jones Jr._fg3m_1.5_-210_under_P0.794_EV0.863_HOUSE_PROV0.677 + Cason Wallace_assists_0.5_-200_over_P0.781_EV0.860_HOUSE_PROV0.667 + Dereck Lively II_steals_0.5_-160_under_P0.644_EV0.233_HOUSE_PROV0.615,0.39969811760347623,2.1909973836696848,8
