,parlay_tag,props,COMBINED_PROB,COMBINED_EV,HETERO
18,2024-05-19_18_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Ben Sheppard_fg3m_0.5_-240_over_P0.711_EV0.034_HOUSE_PROV0.706 + Donte DiVincenzo_fgm_6.5_110_over_P0.520_EV0.461_HOUSE_PROV0.476,0.34116510089155955,0.9975273986277582,8
19,2024-05-19_19_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Ben Sheppard_fg3m_0.5_-240_over_P0.711_EV0.034_HOUSE_PROV0.706 + Miles McBride_fgm_4.5_120_under_P0.506_EV0.563_HOUSE_PROV0.455,0.3317642507583344,1.1099916181326588,8
20,2024-05-19_20_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Ben Sheppard_fg3m_0.5_-240_over_P0.711_EV0.034_HOUSE_PROV0.706 + Aaron Nesmith_fgm_3.5_115_over_P0.502_EV0.393_HOUSE_PROV0.465,0.32908240729197047,0.9228600691204463,8
21,2024-05-19_21_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615,0.4235310771854235,2.3203496408980584,8
22,2024-05-19_22_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Myles Turner_fg3m_1.5_-145_over_P0.665_EV0.614_HOUSE_PROV0.592,0.4201653197253159,2.5511215610822457,8
23,2024-05-19_23_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Myles Turner_steals_0.5_-115_under_P0.644_EV1.020_HOUSE_PROV0.535,0.4072213568835211,3.0977495908339723,8
24,2024-05-19_24_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Tyrese Haliburton_fg3m_3.5_-160_under_P0.620_EV0.040_HOUSE_PROV0.615,0.39225588498304476,1.7797863756728534,8
25,2024-05-19_25_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Aaron Nesmith_steals_0.5_-110_under_P0.619_EV0.907_HOUSE_PROV0.524,0.3912539790909663,2.9447192283182178,8
26,2024-05-19_26_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Aaron Nesmith_assists_1.5_-145_over_P0.605_EV0.109_HOUSE_PROV0.592,0.382357155381185,1.8716412909101372,8
27,2024-05-19_27_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Donte DiVincenzo_steals_1.5_-135_under_P0.592_EV0.151_HOUSE_PROV0.574,0.3742131853627979,1.9286138259596823,8
28,2024-05-19_28_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Ben Sheppard_fgm_1.5_100_over_P0.583_EV0.831_HOUSE_PROV0.500,0.36866565230616494,2.8425238763311453,8
29,2024-05-19_29_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Aaron Nesmith_fg3m_1.5_-125_under_P0.578_EV0.203_HOUSE_PROV0.556,0.3655324110962625,1.998284161533899,8
30,2024-05-19_30_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Donte DiVincenzo_fg3m_3.5_115_over_P0.567_EV1.090_HOUSE_PROV0.465,0.3582143163756638,3.191710116754386,8
31,2024-05-19_31_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Donte DiVincenzo_rebounds_4.5_115_under_P0.559_EV1.008_HOUSE_PROV0.465,0.35336897625795366,3.0809059979716586,8
