,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_fg3m_under,0.5,,,,,,,,,,,,,1.0,
1,Alperen Sengun_points_under,20.5,,,,,,,,,,1.0,,,,
2,Brandin Podziemski_points_under,10.5,,,,,,,,,,,,1.0,,
3,De'Aaron Fox_fg3m_under,2.5,,,,,,,,,,,1.0,,,
4,De'Aaron Fox_points_over,24.5,,,,,,,,,,,,,,1.0
5,DeMar DeRozan_assists_over,3.5,,1.0,,,,,1.0,,,,,,,
6,Derrick Jones Jr._points_over,8.5,,,,1.0,,,,,,,,,,
7,Derrick Jones Jr._rebounds_under,3.5,,,,,,,1.0,,,,,,,1.0
8,Dillon Brooks_rebounds_over,3.5,,,,,,,1.0,,,,,,,
9,Domantas Sabonis_fg3m_over,0.5,,,,,,1.0,,,,,,,,
10,Donte DiVincenzo_fg3m_under,2.5,,,,,,,,1.0,,,,,,
11,Draymond Green_assists_over,5.5,,,,1.0,,,,,,,,,,
12,Jabari Smith Jr._assists_under,1.5,1.0,,,,,,,,,,,,,
13,Jabari Smith Jr._fg3m_over,1.5,,,,,1.0,,,,,,,,,
14,Jabari Smith Jr._points_over,11.5,,,,,,,,,1.0,1.0,,,,
15,Jaden McDaniels_assists_over,1.5,1.0,,,,,,,,,,,,,
16,Jaden McDaniels_rebounds_over,3.5,,,,,,,,1.0,,,,,,
17,Jalen Green_assists_under,2.5,,,,,1.0,,,,,,,,,
18,Jalen Green_fg3m_under,2.5,,,,,,,,1.0,,1.0,,,,
19,James Harden_rebounds_under,6.5,,,1.0,,,,,,,,,,,
20,Jonathan Kuminga_points_under,17.5,,,,,,,,,,,1.0,,1.0,
21,Julius Randle_fg3m_under,1.5,,,,,,1.0,,,,,,,,
22,Julius Randle_points_over,18.5,,,,,,,,,1.0,,,,,
23,Julius Randle_rebounds_over,5.5,,1.0,,,1.0,1.0,,,,,,,,
24,Keegan Murray_points_under,13.5,,,,,,,,,,,,,,1.0
25,Kevin Huerter_points_over,7.5,,,,,,,,,,,1.0,,,
26,Lauri Markkanen_assists_over,1.5,,,,,,,,,,,,1.0,,
27,Lauri Markkanen_points_under,20.5,,,,,,,,,1.0,,,,,
28,Lauri Markkanen_rebounds_under,6.5,,,,,,,,,,,,1.0,,
29,Malik Monk_points_under,17.5,,,1.0,,,,,,,,,,,
30,Naz Reid_rebounds_over,4.5,,,1.0,,,,,,,,,,1.0,
31,Norman Powell_points_over,21.5,,1.0,,,,,,,,,,,,
32,Norman Powell_rebounds_under,2.5,,,,1.0,,,,,,,,,,
33,Stephen Curry_points_under,24.5,1.0,,,,,,,,,,,,,
