,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
0,Brandin Podziemski,Warriors,points,11.5,-105,under,0.931918837816429,4.09730294058895,0.5121951219512195,1,0.19268929710909505,0.057171158227919155,Brandin Podziemski_points_under
5,Jonathan Kuminga,Warriors,rebounds,5.5,-165,under,0.753142888745484,1.0479656217440376,0.6226415094339623,1,0.19268929710909505,0.057171158227919155,Jonathan Kuminga_rebounds_under
13,Jabari Smith Jr.,Rockets,fg3m,1.5,-150,over,0.6691458157147478,0.5762151309562318,0.6000000000000001,1,0.19268929710909505,0.057171158227919155,Jabari Smith Jr._fg3m_over
14,Jalen Green,Rockets,rebounds,5.5,-140,under,0.6510064372694919,0.5800551765956454,0.5833333333333333,1,0.19268929710909505,0.057171158227919155,Jalen Green_rebounds_under
19,Fred VanVleet,Rockets,points,17.5,-105,over,0.6302256465963079,1.1522027405830055,0.5121951219512195,1,0.19268929710909505,0.057171158227919155,Fred VanVleet_points_over
9,Jalen Green,Rockets,fg3m,2.5,105,under,0.7037203534424978,2.2131336227856018,0.48780487804878053,2,0.10057105343841433,0.038305426847684364,Jalen Green_fg3m_under
10,Amen Thompson,Rockets,points,13.5,-120,under,0.6920472198084384,1.343766181577353,0.5454545454545454,2,0.10057105343841433,0.038305426847684364,Amen Thompson_points_under
17,Andrew Wiggins,Warriors,rebounds,4.5,-130,under,0.6483653762099504,0.7355398664726378,0.5652173913043479,2,0.10057105343841433,0.038305426847684364,Andrew Wiggins_rebounds_under
21,Dillon Brooks,Rockets,points,13.5,-115,under,0.5950211660654501,0.5621543784379028,0.5348837209302326,2,0.10057105343841433,0.038305426847684364,Dillon Brooks_points_under
26,Alperen Sengun,Rockets,assists,6.5,110,over,0.5352848222265388,0.6204906333786577,0.47619047619047616,2,0.10057105343841433,0.038305426847684364,Alperen Sengun_assists_over
0,Brandin Podziemski,Warriors,points,11.5,-105,under,0.931918837816429,4.09730294058895,0.5121951219512195,3,0.18589448203836892,0.0554958129318629,Brandin Podziemski_points_under
6,Alperen Sengun,Rockets,fg3m,0.5,-225,under,0.740818220681718,0.35035381603463,0.6923076923076923,3,0.18589448203836892,0.0554958129318629,Alperen Sengun_fg3m_under
8,Alperen Sengun,Rockets,rebounds,11.5,-140,under,0.719280873462433,1.1652646296779974,0.5833333333333333,3,0.18589448203836892,0.0554958129318629,Alperen Sengun_rebounds_under
19,Fred VanVleet,Rockets,points,17.5,-105,over,0.6302256465963079,1.1522027405830055,0.5121951219512195,3,0.18589448203836892,0.0554958129318629,Fred VanVleet_points_over
22,Dillon Brooks,Rockets,assists,1.5,-110,over,0.593994150290162,0.6699441618606374,0.5238095238095238,3,0.18589448203836892,0.0554958129318629,Dillon Brooks_assists_over
8,Alperen Sengun,Rockets,rebounds,11.5,-140,under,0.719280873462433,1.1652646296779974,0.5833333333333333,4,0.1350566866506597,0.07265834675254963,Alperen Sengun_rebounds_under
12,Amen Thompson,Rockets,rebounds,8.5,-140,under,0.6756510437420216,0.7912946606458997,0.5833333333333333,4,0.1350566866506597,0.07265834675254963,Amen Thompson_rebounds_under
13,Jabari Smith Jr.,Rockets,fg3m,1.5,-150,over,0.6691458157147478,0.5762151309562318,0.6000000000000001,4,0.1350566866506597,0.07265834675254963,Jabari Smith Jr._fg3m_over
17,Andrew Wiggins,Warriors,rebounds,4.5,-130,under,0.6483653762099504,0.7355398664726378,0.5652173913043479,4,0.1350566866506597,0.07265834675254963,Andrew Wiggins_rebounds_under
18,Fred VanVleet,Rockets,rebounds,3.5,-170,over,0.640552227211231,0.0867382749127168,0.6296296296296295,4,0.1350566866506597,0.07265834675254963,Fred VanVleet_rebounds_over
14,Jalen Green,Rockets,rebounds,5.5,-140,under,0.6510064372694919,0.5800551765956454,0.5833333333333333,5,0.08738201315077868,0.047418769586013536,Jalen Green_rebounds_under
15,Jonathan Kuminga,Warriors,assists,2.5,-135,under,0.6496313518820689,0.6541988034180066,0.574468085106383,5,0.08738201315077868,0.047418769586013536,Jonathan Kuminga_assists_under
16,Alperen Sengun,Rockets,points,22.5,-125,under,0.6487127633992118,0.8384148705929062,0.5555555555555556,5,0.08738201315077868,0.047418769586013536,Alperen Sengun_points_under
21,Dillon Brooks,Rockets,points,13.5,-115,under,0.5950211660654501,0.5621543784379028,0.5348837209302326,5,0.08738201315077868,0.047418769586013536,Dillon Brooks_points_under
26,Alperen Sengun,Rockets,assists,6.5,110,over,0.5352848222265388,0.6204906333786577,0.47619047619047616,5,0.08738201315077868,0.047418769586013536,Alperen Sengun_assists_over
1,Jalen Green,Rockets,points,21.5,-125,under,0.8318512506496469,2.4866612558468226,0.5555555555555556,6,0.14131357161360186,0.07441099227343663,Jalen Green_points_under
6,Alperen Sengun,Rockets,fg3m,0.5,-225,under,0.740818220681718,0.35035381603463,0.6923076923076923,6,0.14131357161360186,0.07441099227343663,Alperen Sengun_fg3m_under
15,Jonathan Kuminga,Warriors,assists,2.5,-135,under,0.6496313518820689,0.6541988034180066,0.574468085106383,6,0.14131357161360186,0.07441099227343663,Jonathan Kuminga_assists_under
18,Fred VanVleet,Rockets,rebounds,3.5,-170,over,0.640552227211231,0.0867382749127168,0.6296296296296295,6,0.14131357161360186,0.07441099227343663,Fred VanVleet_rebounds_over
25,Jabari Smith Jr.,Rockets,points,13.5,-115,under,0.551067783317111,0.15128580057299423,0.5348837209302326,6,0.14131357161360186,0.07441099227343663,Jabari Smith Jr._points_under
5,Jonathan Kuminga,Warriors,rebounds,5.5,-165,under,0.753142888745484,1.0479656217440376,0.6226415094339623,7,0.06080311323359955,0.03171817213063375,Jonathan Kuminga_rebounds_under
20,Jabari Smith Jr.,Rockets,rebounds,7.5,100,under,0.5987138355230368,0.9871383552303676,0.5,7,0.06080311323359955,0.03171817213063375,Jabari Smith Jr._rebounds_under
22,Dillon Brooks,Rockets,assists,1.5,-110,over,0.593994150290162,0.6699441618606374,0.5238095238095238,7,0.06080311323359955,0.03171817213063375,Dillon Brooks_assists_over
24,Dillon Brooks,Rockets,rebounds,3.5,-115,under,0.5583570552828954,0.21942464720967436,0.5348837209302326,7,0.06080311323359955,0.03171817213063375,Dillon Brooks_rebounds_under
27,Jabari Smith Jr.,Rockets,assists,0.5,175,under,0.4065696597405992,0.5903328214332393,0.36363636363636365,7,0.06080311323359955,0.03171817213063375,Jabari Smith Jr._assists_under
7,Jonathan Kuminga,Warriors,fg3m,0.5,-250,over,0.7274682069659874,0.09227744876191135,0.7142857142857143,8,0.11477209320476138,0.0659958033437874,Jonathan Kuminga_fg3m_over
15,Jonathan Kuminga,Warriors,assists,2.5,-135,under,0.6496313518820689,0.6541988034180066,0.574468085106383,8,0.11477209320476138,0.0659958033437874,Jonathan Kuminga_assists_under
16,Alperen Sengun,Rockets,points,22.5,-125,under,0.6487127633992118,0.8384148705929062,0.5555555555555556,8,0.11477209320476138,0.0659958033437874,Alperen Sengun_points_under
17,Andrew Wiggins,Warriors,rebounds,4.5,-130,under,0.6483653762099504,0.7355398664726378,0.5652173913043479,8,0.11477209320476138,0.0659958033437874,Andrew Wiggins_rebounds_under
23,Andrew Wiggins,Warriors,points,17.5,-105,over,0.5774083377803214,0.6366052021412325,0.5121951219512195,8,0.11477209320476138,0.0659958033437874,Andrew Wiggins_points_over
0,Brandin Podziemski,Warriors,points,11.5,-105,under,0.931918837816429,4.09730294058895,0.5121951219512195,9,0.16819366799667557,0.033864140294295506,Brandin Podziemski_points_under
1,Jalen Green,Rockets,points,21.5,-125,under,0.8318512506496469,2.4866612558468226,0.5555555555555556,9,0.16819366799667557,0.033864140294295506,Jalen Green_points_under
4,Jonathan Kuminga,Warriors,points,17.5,-120,under,0.7974989949784532,2.3104074539691553,0.5454545454545454,9,0.16819366799667557,0.033864140294295506,Jonathan Kuminga_points_under
13,Jabari Smith Jr.,Rockets,fg3m,1.5,-150,over,0.6691458157147478,0.5762151309562318,0.6000000000000001,9,0.16819366799667557,0.033864140294295506,Jabari Smith Jr._fg3m_over
27,Jabari Smith Jr.,Rockets,assists,0.5,175,under,0.4065696597405992,0.5903328214332393,0.36363636363636365,9,0.16819366799667557,0.033864140294295506,Jabari Smith Jr._assists_under
2,Jalen Green,Rockets,assists,3.5,-165,under,0.8193524217033382,1.5796482348904428,0.6226415094339623,10,0.11449891907346393,0.056258925906503485,Jalen Green_assists_under
11,Amen Thompson,Rockets,assists,2.5,-110,under,0.6766764161830634,1.4591839726565146,0.5238095238095238,10,0.11449891907346393,0.056258925906503485,Amen Thompson_assists_under
18,Fred VanVleet,Rockets,rebounds,3.5,-170,over,0.640552227211231,0.0867382749127168,0.6296296296296295,10,0.11449891907346393,0.056258925906503485,Fred VanVleet_rebounds_over
23,Andrew Wiggins,Warriors,points,17.5,-105,over,0.5774083377803214,0.6366052021412325,0.5121951219512195,10,0.11449891907346393,0.056258925906503485,Andrew Wiggins_points_over
24,Dillon Brooks,Rockets,rebounds,3.5,-115,under,0.5583570552828954,0.21942464720967436,0.5348837209302326,10,0.11449891907346393,0.056258925906503485,Dillon Brooks_rebounds_under
