,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,83288,293073,295222,305906,321673,333266,335525,344600,346913,346931,846798,858031,862926,866205,872847,879919,889352,890914,961161,964673,1026878,1028329,1062775,1064112,1064731,1065465,1065622,1066044,1066903,1074890,1081329,1081345,1081403,1081431,1081553,1081566,1081567,1081569,1081570,1081571,1081574
0,Anthony Edwards_assists_under,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Anthony Edwards_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
2,Anthony Edwards_points_under,27.5,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
3,Daniel Gafford_assists_over,0.5,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Daniel Gafford_points_over,8.5,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dereck Lively II_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
6,Dereck Lively II_steals_under,0.5,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,Derrick Jones Jr._blocks_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
8,Jaden Hardy_rebounds_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0
